标题,作者,来源,发表时间,链接,摘要,爬取时间
基于机器学习的道路移动源减污降碳路径研究,彭林;董佳奇;杨世杰;闫雨龙;吕昕,北京交通大学学报,2025-10-11 09:55,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGgWTaYkAd5LPg0BdmiftU3LSvprs-HWoN8vgUeHnxfFOQILqDvyforyjX9ZwBbxE1VxnNkoVLcFPDkNCxIqqF_m2GO5dWoyC-GdpgIAadDJi47m2Z4WVfhThDqD_ZgrlxVwWIOR3Pw6cuXbGsvEcoUV18UySPuUIA5g-1c0IILkQ==&uniplatform=NZKPT&language=CHS,针对当前我国道路移动源污染物与碳排放特征时空异质、模式多样化所带来的精准治理挑战，通过机器学习方法构建道路移动源污染物与碳排放特征、驱动因素及减排路径研究框架.首先，集成多源数据信息构建交通-碳-环境数据集，分析道路移动源污染物与碳排放的时空分布特征；然后，建立多元知识约束的非负矩阵分解模型，识别污染物与碳排放模式及其驱动因素；最后，建立多模式集成的多元线性回归模型，分析有效的减污降碳路径.研究结果表明：近年来道路移动源排放颗粒物呈减少趋势，碳排放持续增长，且NOx、CO和VOCs排放仍显著；目前我国道路移动源污碳排放存在3种主要模式，碳-颗粒物减排模式分布在边境和沿海，受公路客运、货运及公路行驶里程影响（37.2%），污染物减排模式分布在北京市、天津市、广东省等，受交通生产总值影响（30.1%），碳-氮氧化物污染模式分布在中西部，受铁路及其电气化、小型运输载具等多因素影响（23.6%）；通过分析减排路径可知，加快交通运输行业经济发展对减排最显著，至多使CO2与NOx减排6.7%和4.5%，加快交通能源结构调整、减少公路货运及行驶里程、发展“公转铁”及铁路电气化对减排也较为显著.所提出的研究框架为“双碳”背景下道路移动源减污降碳提供定量评估和策略支持.,2025-11-03 14:30:16
减污降碳扩绿增长协同增效的时空分异、差异成因与驱动因素,高升;程勇正,生态与农村环境学报,2025-10-10 09:29,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGH08ZITZr8kB6oWPKf7JixBd4taORd7q_D42PNGL7HOTwexfUjgo2zUNdrt_sNmtwsb9kd8wevnbG1sgKq_TMNh9Iq2ZxRTxOEzOmmZBem_3GItXytPSUq4doYR_5gwTGBONGG7ptQ-c7fFHVc3kV2oLpu_iu86YX9uhWYa4Jbeg==&uniplatform=NZKPT&language=CHS,推进减污降碳扩绿增长协同增效是实现经济社会发展全面绿色转型的重点任务。文章揭示了2004-2021年中国城市减污降碳扩绿增长协同增效的时空格局演化特征、空间集聚特征、区域差异成因以及驱动因素的时空异质性。结果表明：（1）协同增效指数呈上升趋势，均值增幅达285%且呈逐年提升态势，总体差异有所扩大，空间转移特征基本呈“东北—西南”格局，空间分布趋于均衡。（2）空间集聚特征以HH型和LL型集聚为主，占比分别从28%升至33%，由54%降至37%，形成东高西低的梯度分布。（3）协同增效总体差异无明显变化，差异主要来源于区域间差异，东-中部区域间差异最大，均值为0.453，中西部地区间差异最小，在0.095-0.124范围间波动；东部区域内不均衡程度相对较高。（4）人均二氧化碳排放量与全社会人均用电量总体对减污降碳扩绿增长协同增效呈负向影响，占比分别在50%与75%左右，人均公园绿地面积与固定资本存量对减污降碳扩绿增长协同增效表现为正向影响且呈6%-8%的波动增强状态。全社会人均用电量与人均公园绿地面积的空间异质性呈增大态势。人均二氧化碳排放量与固定资本存量的空间异质性呈缩小趋势。最后，围绕差异化区域治理、跨区域协同联动和动态化因子调控等提出对策建议。,2025-11-03 14:30:16
中国种植业减污降碳协同效应测度及实现路径分析,齐悦;颜华;王弘烨,农业现代化研究,2025-10-09 15:51,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaFiRlEMxZF1UUNmHbr8KTnJRdaUq_tAwiSvKvDY_SeEd_qm3XNRZtfOduUQBIHAvG5Jjc03zw4NPRE_o7GTkNnMjp4oFBIIF3aenpQ3JunkkMSQlDPyCMbnRfIAsBWM8HkHiV3Fmxe9yTcDiywqSyPvuwx7TKyKd9AZXYyn9_so2g==&uniplatform=NZKPT&language=CHS,中国农业绿色发展已步入“降碳、减污、扩绿、增长”协同推进的新阶段，减污降碳协同增效已成为推动农业绿色转型的内在要求。本研究基于边际减排成本视角，对中国种植业减污降碳协同效应进行实证考察。研究发现：1）我国种植业的边际减污成本和边际降碳成本均呈现波动上升趋势，联合减排策略对减污降碳的成本控制更为有效。2）2000—2022年中国种植业减污降碳协同效应呈现波动上升趋势，联合减排对减污效应更为显著，而降碳效应则随着时间逐步增强。3）东部地区减污降碳协同效应最高，西部地区次之，中部地区和东北地区相对较低，且省域之间的减污降碳协同效应也存在显著差异。4）在生态保护、降碳优先、能源转型和农业现代化四种情景下，种植业减污降碳协同效应具有37.35%～39.97%的提升空间，并从边际成本最小化与协同效应最大化的两个方面提出了不同省份减污降碳协同增效的最优路径，为“十四五”规划阶段推进减污降碳协同增效的政策制定提供参考。,2025-11-03 14:30:16
创新驱动政策“双试点”何以协同赋能城市减污降碳？——来自国家自主创新示范区与创新型城市试点政策的经验证据,刘志雄;卫昱亨,生态经济,2025-10-09,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaFiRlEMxZF1UUNmHbr8KTnJIvsJXQ37huOxmoc_vY9fpdGzJkdcKBNcLDrXyTQCOU5ujzG-ddk1KSh_B8usLPC7X55fGUXH_ScUUFUvc-K0M5hRmuwy9MstCX-_NqFlT_h1YQhhrixV5i6mJP58m_6QaqOIHycGSldFOrXRxqPSmA==&uniplatform=NZKPT&language=CHS,基于2006—2022年我国282个地级及以上城市的面板数据，以国家自主创新示范区与创新型城市试点政策为准自然实验，构建双重差分模型和中介效应模型，实证检验“双试点”政策在推动城市减污降碳方面的协同作用。研究结果表明：（1）“双试点”政策显著促进了城市减污降碳协同增效。（2）在中部地区、环境强规制地区以及高资源配置效率地区，“双试点”政策对减污降碳的效果更为明显，具有地区异质性。（3）“双试点”政策引致的技术创新效应及结构效应是实现减污降碳协同增效的重要机制，体现在技术创新数量增加、技术创新质量提升、促进产业结构升级以及产业结构合理化。基于上述结论，提出应深化政策协同机制，加速技术创新生态系统建设，推动产业结构绿色转型与升级，实施差异化与精准化的创新驱动发展战略，以期为经济社会绿色转型提供有益的政策启示。,2025-11-03 14:30:16
产业园区规划环境影响评价中的减污降碳措施研究,姚芳,皮革制作与环保科技,2025-09-30,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaFj9Q5TkaiTJYbQHINOHpqMfLSqH6xRwKQKpTVpZ8hU0K9hgnMoq1-Ra1F5uBWIkP8C7Q0A8C_0w61W8ia6bN7hyyha1q10qxxRxceyKCtP1ZHmtNd3LBaa356TJQUzoCwAFb7Md0VJWNOsGbjuQp9fHD1J0desawrorPkSpqtWKQ==&uniplatform=NZKPT&language=CHS,本文针对产业园区减污降碳面临的挑战，提出了优化碳排放统计核算体系、协同推进环境治理与碳减排、加强绿色技术研发与转化以及完善服务保障政策等一系列措施。通过建立科学、规范、统一的碳排放统计核算体系，协同推进环境治理与碳减排工作，并加强绿色技术的研发与转化，以及完善服务保障政策，从而有效推动产业园区的绿色低碳转型，实现可持续发展。,2025-11-03 14:30:16
基于产业园区规划的碳排放评价初探,蒙李燕,皮革制作与环保科技,2025-09-30,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaFj9Q5TkaiTJYbQHINOHpqMfLSqH6xRwKQKpTVpZ8hU0K9hgnMoq1-ROczzX4Xq67B4CccdZzowu4visAMMrJVPWRrtSiz6s_4O8ymI0JssT2CIl9j9zKd00Q-2ao4RbKni7P0qYcRHZyBq427xFpV2qmZgmEZVrQV911gyZljJJA==&uniplatform=NZKPT&language=CHS,以某产业园区作为研究样本，对其规划方案实施后的碳排放情况进行分析，采用单位工业生产总值能源消耗年均下降率、单位工业生产总值二氧化碳排放年均下降率等指标对该园区规划方案的碳排放进行评价，并从园区产业、建筑、交通、管理等方面提出园区碳减排的管控措施及建议，以期为园区的规划环评提供参考。,2025-11-03 14:30:16
城市私家车减污降碳潜力的动态仿真研究,陈振;许正阳;田康;翟振杰,重庆理工大学学报(自然科学),2025-09-28 09:27,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEDDK1UqUtOrJSlr7eV_kuTM1sJggq-rc_7_pVse56eAHbPLWpkf_1u8hyAwwcqfvm8lbDJ3QegNDoK7DLiE8HDiT4MkmyE0qpDa_mWFBeoK_DprZ4O33G8o5pRfv-wTnq1UOD3Qcp5u5ETNT4IZFJPqF0ikGD8PBlDto7Fu-fc7A==&uniplatform=NZKPT&language=CHS,从心理层面出发，引入助推策略，设计基于TPB-AST理论的私家车出行心理引导算法，构建考虑“避-享-移”的私家车减污降碳系统动力学模型架构。借助动态仿真，探究不同情景方案的作用效果，进行管控模式优选以实现减污降碳的协同效应。研究结果显示:单一政策中，报废技术提升策略具有较强的作用效果，但在中长期出现“政策疲惫”，而助推策略存在显著的“时滞效应”;协同模式存在“衰退效应”，但作用效果突出，私家车CO2排放和PM存量的削减潜力分别为6 922 940、599.302 t;与基准情景相比，协同模式使交通拥堵程度下降75.51%，具有环境、健康、社会效益等多重绩效。研究成果可为碳达峰目标下城市道路交通管控工作提供选择依据和策略方案。,2025-11-03 14:30:16
京津冀及周边地区减污降碳与产业高质量发展耦合协同研究,骆李静;胡志冉;李慧;兑佳桐;彭仪,天津职业技术师范大学学报,2025-09-28,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHEuW_CZjOR_GYjFcB_-b6mt_TbLcQrDZuoRYDSUtan5yIeUWL9M_nroUCqSaycA-Tv8zbqucmk7KaD9sBTUCtM_DBIQJGF-h9bwuPltGDr2TTwhumioW8EK_XNLybEpVRnfNkW3f-zyIENVQmMGxXcpHIbwf3INstLuHLpEkcvfQ==&uniplatform=NZKPT&language=CHS,为探索减污降碳强度与产业结构升级之间的关系，调取了京津冀及周边地区2003至2021年的数据，计算产业合理化与高级化指数；基于双系统耦合模型，分析了减污降碳强度与产业结构升级的耦合协调度；采用Tobit模型对影响耦合协调度的6个因素进行了分析。研究结果表明：城镇化水平对减污降碳与产业合理化之间的协调程度有正向促进作用，而人力资本、外商投资、政府干预和研发强度对协调度有削弱效果；人力资本水平对减污降碳与产业高级化协调度有促进作用，而外商投资和政府干预对该协调度产生负向作用。,2025-11-03 14:30:16
序言,林星杰;曹宏斌,有色金属(冶炼部分),2025-09-28,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEilZ3_lHx8rPqD5MRHNYsc7iETIQyC--ISCNjGv5enX4T0PlBv4MPoFCc-xSkosJrAdXl8IZ4yhE3NY9OQTJFotNHpldoLksqYBDSWGo9Qo8MavLDTgAVHx-9FEZaLr2XbGSTW8q8TYpBBDOi_4UNf1DZsJMz2qkH-b5qMHpQw8g==&uniplatform=NZKPT&language=CHS,<正>当前，国家环保政策越来越严格，“绿水青山就是金山银山”的理念更加深入人心。为进一步推进我国矿山及冶炼厂周边土壤、大气和水资源的污染治理及处置力度，提升环境治理的科技水平和创新能力，助力有色金属行业减污降碳战略的实施，实现资源型地区经济转型发展，《有色金属（冶炼部分）》出版了环保专辑。本专辑重点围绕矿冶行业大气和水资源污染防治、土壤污染修复和生态保护等重点项目所取得的成果，从污染源头减量、过程阻断、风险防控与生态修复技术体系，凝练总结了先进理念、技术、材料、装备和工程应用效果。专刊期望对本领域广大科研人员、教师和学生起到学习借鉴良好作用。,2025-11-03 14:30:16
工业减污降碳协同效应的区域差异、动态演变特征及其影响因素分析,林佳敏;陈建宝,资源开发与市场,2025-09-26 17:04,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEilZ3_lHx8rPqD5MRHNYscyBj2QBVVxp6N7RMPOwKHizPxAWaA7BL3poLMc6aIyLJ2xV6fBPGfLhhXW3uPXjsT_Dqm-PyJDW_jCcx3HMQ6ngelUUGylqR_ZmXGeOgIXyn9VviBGfBY2NKUixPWMUMhIe-rlI-1izpdIFbK260q5w==&uniplatform=NZKPT&language=CHS,在“双碳”目标和空气质量根本好转的双重任务下，协同推进减污降碳对工业绿色高质量发展至关重要。基于2006－2021年中国30个省份的面板数据，采用耦合协调度模型测度了各省份工业减污降碳协同效应，运用Dagum基尼系数及其分解方法、Kernel密度估计和空间杜宾模型分别探究了中国工业减污降碳协同效应的地区差异、动态演变特征和影响因素。研究发现：①中国工业减污降碳协同效应呈上升趋势，且存在显著的地区差异特征。总体差距的主要来源依次为超变密度、地区内差异和地区间差异；②中国工业减污降碳协同效应存在不同极化特征，整体及中部地区绝对差异呈缩小趋势，东部及西部地区绝对差异呈扩大趋势；③能源消费结构、能源消费总量和技术进步对本省工业减污降碳协同效应具有显著影响，邻近省份能源利用效率、能源消费总量、环境治理、工业化水平和经济发展水平能够显著影响本省工业减污降碳协同效应。,2025-11-03 14:30:17
碳中和目标下减污降碳协同发展与人体健康风险的关系,李建秀;许泽坤;卢静;赵云皓;汤智,环境卫生学杂志,2025-09-25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGLUpAkJCspNdrRMGt-tXqfW6TFYhXhiP4nyEQ9YjJMnpUEx3z9aFoHc0JGefpvGtgxd0EXlJ460SB4rRMOYMhXGrtSrjvyxLGVNZl8FJclVKxeoeI2_55WjK7rbn4B1EzQ6bZaONJ9zcexQ28_v-WxC_dcN99tGi8DfJkYCirGYQ==&uniplatform=NZKPT&language=CHS,"目的 探究中国近年来碳排放与大气污染物排放的耦合协调度及影响因素，评估减污降碳政策下我国因细颗粒物(fine particulate matter, PM2.5)长期暴露导致的死亡负担。方法 基于耦合协调度模型（coupling coordination degree model）和面板回归模型探究我国碳排放量与大气污染物时空分布、耦合协调度以及影响因素，利用全球暴露-死亡模型（global exposure mortality model, GEMM）评估2014—2019年我国因PM2.5长期暴露导致的5种主要疾病（缺血性心脏病、中风、慢性阻塞性肺病、肺癌和下呼吸道感染）过早死亡人数。结果 2006—2020年我国大气污染物排放总量逐年下降，而碳排放量尽管增速放缓，仍呈现上升趋势。我国减污降碳协同治理水平正在提升，但区域间耦合协调水平差异明显；能源消费结构、人均GDP和交通运输结构是影响我国减污降碳耦合协调度的关键因素。2014—2019年我国归因于PM2.5长期暴露导致的年平均过早死亡人数为137.86（95%CI:119.72～157.40）万人，其中缺血性心脏病、慢性阻塞性肺病和中风是主要疾病负担，分别占43.1%、20.1%和19.0%。结论 减污降碳政策在环境治理方面取得了显著成效，但区域间发展仍不均衡，对人体健康的协同效应尚需进一步强化。未来应进一步优化政策设计，不仅要缩小区域差异，还应更加注重将减污降碳与人体健康的协同关系纳入治理框架。",2025-11-03 14:30:17
基于减污降碳协同增效的农村生活污水治理方法分析,王彦;江亚斌,中国资源综合利用,2025-09-25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHdEujttoKdNZSm2lTBZnNAzu40fE64yhPUDYhJqsS_KLx2FlD5c4s4X8Nfs-SLpA9OQILecSHUtw0BsEcTm8wxQsEG2iBZs5kb8lzNHG7lFIhcwSIH7ervnMD_vHqk7PjgVCA-DUecB-5AcWUq7IGV4rASPFSigZxXpeK-3Mz-dw==&uniplatform=NZKPT&language=CHS,在“双碳”目标与乡村振兴战略协同推进背景下，农村生活污水治理成为改善人居环境、推动绿色低碳发展的重要抓手。从减污降碳协同增效视角出发，分析农村生活污水治理对实现生态效益与低碳目标的双重价值，探讨当前治理过程面临的核心问题，并提出针对性治理方法，旨在为构建低碳导向的农村污水治理体系提供理论参考，助力农村生态文明建设与可持续发展。,2025-11-03 14:30:17
工业园区废水处理工艺减污降碳协同改造及效果分析,虞子婧;张晓宁,资源节约与环保,2025-09-25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHdEujttoKdNZSm2lTBZnNAzu40fE64yhOv2HJqC3U7DHJGaQ3CV_3Tpv5jDYPrTz7DKmVgjy0FTEUZDwU3F7gO42rISBJ4kMr0lNH6eGvLbDHXsXKqpfjXB9qPl0_an2HSOoSTFIvqL-XwY6SpFglAPiYTvBUUN7BYhRJtPlp5BA==&uniplatform=NZKPT&language=CHS,工业园区在推动工业发展的过程中具有重要作用，有力地拉动了地区经济增长。但在工业园区运行管理中，针对废水处理尚存在减污降碳协同增效途径不清、措施不明等一系列问题。对此，以某工业园区废水处理站减污降碳协同改造项目为例，调研分析改造前工业园区废水处理站废水处理作业的真实情况，明确废水处理环节各项问题，系统论述改造技术方案内容及介绍方案中的技术设备应用，对比改造前后效果，以期为其他工业园区废水处理站建设减污降碳协同的污水处理体系提供技术参考。,2025-11-03 14:30:17
污水处理厂碳排放核算及减污染降碳路径探析,程善平,资源节约与环保,2025-09-25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGYBmOiah2fqd_U2DIM0VSLz-U3_eOLHvrtZfJAtIbd5JXpgvFKfNIge_YOhfqm9NWn448bmNgK8CFBxWoWuBcMSHBnD2rYSusvJ892V4hx-zY7RqeEe-FzjY2QwST5LGP4RdHTQ_iWFysDSlfFRiFmmQDUuRw6X15pJraGMXEqWg==&uniplatform=NZKPT&language=CHS,污水处理系统产生的温室气体排放是我国碳排放控制的重要一环，而日益增加的污水处理量和越来越严格的出水标准，使我国污水处理碳减排面临巨大挑战。推进污水处理行业的碳排放核算和碳减排，是我国实现“双碳”目标不可或缺的关键举措。通过以安徽省某市某污水处理厂为例进行碳排放核算和分析，为同类污水处理厂下一步工艺优化、提升管理、减污降碳提供思路。,2025-11-03 14:30:17
基于增效内涵与机制的减污降碳协同增效研究进展,李翊宸;许文;孙园园;乔琦;张玥,中国环境科学,2025-09-23 17:10,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGYBmOiah2fqd_U2DIM0VSL6GJgLRdUTFv8raBg29ZaJ1qZbppt9AOM3YJmV0pqVN107aZMgBMz13carASis2UpGyIoNIAX87Rcj7_IlwvY9wUU9J8EpCzhnjYpUvnEwBDR-sxevRJ-G9oh6FCtgqu-1D9IAx8zAlexuooKx3y8gQ==&uniplatform=NZKPT&language=CHS,当前减污降碳协同增效研究偏重协同而忽视增效，制约了系统性认识。本研究采用文献计量法，旨在凝练研究热点，并进一步讨论增效内涵与机制，以完善系统性认识。结果显示：减污降碳协同增效的研究还处在早期探索阶段，热点集中于协同效应的量化表征、实现路径、特征分析与效果评估、效益评价四阶段；增效是污碳协同减排在系统层面引发的环境、生态、经济、气候、社会、健康等多方效益，体现为提高政策效率、降低社会减排成本等；从多维协同到多维增效依托于多要素联动的复杂系统，包括管理主体协同分工和区域联防联控等路径。未来需明确增效的共识，完善减污降碳协同增效的系统性界定；探究从多维协同到多维增效的科学机制，揭示协同与增效间的复杂关联。,2025-11-03 14:30:17
厨余垃圾制备污水厂碳源的减污降碳协同效益研究,沈桂燕;魏薇;肖雄;黄靖洁;矫旭东,环境工程,2025-09-23 10:25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG_AdCGEGWv-yq2Fv_vKpr_ZftKEv2Sumf9HEp01JQGrGTpJCSdQ2e0XHRl19HEYxVS4VRsHoF3ouLkbf0mynQgIBRVXbTJdPG0faAkMtzdf0S7V321LD0_k9A1Fnn4C4uwpUH3mhXPUUkryo5uitz9H5vTZrSSf8lSFVEbP8CTBA==&uniplatform=NZKPT&language=CHS,厨余垃圾资源化有助于减少环境污染，推动营养元素循环和生物质能开发利用，促进资源循环利用产业发展，实现环境和经济的双赢。本研究针对厨余垃圾水解酸化制碳源这一创新工艺，分别从资源循环和环境影响角度开展分析评价，并与直接焚烧发电和厌氧产沼发电两种主流垃圾处理工艺进行比较。结果表明三种工艺中，水解制碳源的资源循环利用率居中，但其环境效益优于焚烧和厌氧工艺，整个过程无额外的污水处理需求，温室气体净排放和固体杂质分出处理率相对较低，分别为-40.7kgCO2e/t和9.3%。厨余垃圾产生的碳源可替代污水处理厂的商品碳源，降低污水处理成本，实现污水-垃圾系统的协同减污降碳。敏感性分析发现厨余垃圾含水率对水解制碳源工艺的资源和环境效率具有显著影响。此外，水解制碳源在处理成本和设施占地方面也具有一定优势。在厨余垃圾产生量和碳源需求较高的地区，可尝试推广水解酸化制碳源技术，实现城市厨余垃圾和污水的规模化协同治理。,2025-11-03 14:30:17
“工业园区减污降碳与绿色低碳发展”专题序言,陳吕軍,安全与环境学报,2025-09-23,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG_AdCGEGWv-yq2Fv_vKpr_KdA7eMa1VYj_RRom2_1UJb7sM_QtrNDagCVExesg21ULaOnalO72YKtPk9a_KoIQfWFPWvyWgPTA3D0iQBPZFNPLYu5yu4G2ROcJUvhsJDCulleoSLMeU_XZP40MmR0AegS7mFbDujJsYr8I9hJXGA==&uniplatform=NZKPT&language=CHS,"<正>一、工业园区减污降碳是国民经济和社会发展重大需求2022年6月,生态环境部、国家发展和改革委员会、工业和信息化部、住房和城乡建设部、交通运输部、农业农村部、国家能源局联合印发《减污降碳协同增效实施方案》,明确以区域、城市、园区和企业为载体开展减污降碳协同模式创新。生态环境部于2023年启动城市和产业园区减污降碳协同创新试点。园区在边界明确的地理空间内集聚了大量工业企业,以基础设施共享和企业空间距离临近为突出特征,对于提高土地集约节约利用水平、提升生产效率、发展产业联网具有得天独厚的优势。中国工业园区发展已越来越多呈现产城融合的特征,成为区域产业发展的中心及新的行政区,兼具区域和行业的特点。可见,园区作为独特的空间载体,在区域、城市和企业之间起到了关键的联结作用,园区无疑是四大载体之关键,是减污降碳协同增效模式创新和试点的主战场。",2025-11-03 14:30:17
减污降碳提升发展“含绿量”,江钦辉,经济日报,2025-09-23,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG_AdCGEGWv-yq2Fv_vKpr_mgs3QGSxa8Y-0RLPJlnTH4K-Y5XerVOMecBHpBv4c8jEDYlvt_zxxj-jakdDaJiQSQmz7yYXvStPQU6gMsLjKwEn-KQnUmPB8rjBwQTsCbJYRIFSHBYfYcCRAPVn84pe5x-6eqjJ5WIa1HGaQCEmMw==&uniplatform=NZKPT&language=CHS,正文快照：中央城市工作会议将“减污降碳扩绿协同增效”作为建设绿色低碳美丽城市的重要路径。各地立足实际，深入推进减污、降碳、扩绿，探索契合自身的绿色低碳产业发展之路，不仅是践行绿水青山就是金山银山理念的重要体现，也是实现区域高质量发展、构建人与自然和谐共生的现代化城......,2025-11-03 14:30:17
绿色转型需要更多技术创新,张玉坤,中国电力报,2025-09-23,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGn4Wlp3r0GtrfEFIYoEdDSXw9aUZEkfhWjabX-2W8W01d5FoiHcbap7IMPKCHv5iUs9-hVRlEJKg-3lPAH4IZMD-RwONnhqu3C3aWnjgQQFbfls2YCzB6f9FYPJJf9EO6ZRx0q1p_3jWb4R2js6U2BL_6vMf2rqW3rJqKph3V3iUWj21iOyUhI&uniplatform=NZKPT&language=CHS,——第十八届热电行业发展论坛观察,2025-11-03 14:30:17
浙江省工业大气污染物与CO2协同减排路径研究,张晴;朱华;徐力刚;翁艺翎;陈畅,环境监测管理与技术,2025-09-22 16:53,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGn4Wlp3r0GtrfEFIYoEdDS6zp0GtCSmeFgiHD9bIgDjD7n3isd9p1ATXro_0IWS6W8lJqzygNon1mA1dqmwoMMn8qBEi8VKj61jNj6TcAIglMAX2zZ5uokehO6JXDnYGccM9FCkolirGdCw3C9QlRneUszrSsBMrEP8QWQS0uewA==&uniplatform=NZKPT&language=CHS,基于2005—2021年浙江省工业大气污染物(SO2、NOX、PM2.5和PM10)和CO2排放量数据，运用协同效应系数模型分析减污降碳协同效应，采用STIRPAT模型预测2022—2040年不同情景下二者的排放趋势，并提出协同减排路径。结果表明：2005—2021年浙江省工业大气污染物排放量整体稳定下降，而CO2排放量由2005年的260.91 Mt波动上升至2018年的最大值387.39 Mt，之后趋于平稳；2022—2040年不同情景下浙江省工业SO2、NOx、PM2.5和PM10排放量均呈下降趋势，且差异较小；不同情景下CO2排放量顺序为粗放情景＞基准情景＞产业结构优化情景＞结构优化情景＞节能情景＞绿色情景。综合不同情景下的碳减排量、减污降碳协同效应和实现难度，建议将节能情景作为浙江省工业大气污染物和CO2的最优减排路径。,2025-11-03 14:30:17
燃煤电厂减污降碳工艺及其处理效果研究进展,陆延;黄微;袁琛鉴;吴涌源,低碳世界,2025-09-22,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEpHUN8z2gY56Tu2i8jYI0ov4Mikc5CcSBJjbCKw4Cb1bpYtgMSKt1rXq1GzV90dDFP0yFU3G2oGg9LP7n44JtMOUMJ7pVSRSMYvO_aNRr78U9YKuHJ6Q5O7MvLYWMu_eqMCPwESyC8fgbJoQNL-L8w2YQ-1aOkT9iTHUlPZ67CLA==&uniplatform=NZKPT&language=CHS,近年来，在数字化转型和煤电“三改联动”背景下，燃煤电厂减污降碳工艺的绿色化、智能化水平显著提升。为探究近年来燃煤电厂主要减污降碳工艺及其处理效果的研究进展，首先，分析了燃煤发电行业碳污格局、现行减污降碳工艺及其处理效果的影响因素。其次，基于CiteSpace共性网络图谱及聚类图谱对2000—2023年国内外文献开展研究热点与研究趋势分析，并探讨了环保政策对研究热点的影响。最后，结合国内外的研究案例，提出了未来燃煤电厂减污降碳技术的发展方向和政策建议，以期为推动清洁能源转型提供参考。,2025-11-03 14:30:56
能源配额交易政策的减污降碳效应研究,李俊霖;彭湘蕙子;孙冰鑫;杜融,上海市经济管理干部学院学报,2025-09-20,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaEpHUN8z2gY56Tu2i8jYI0ov4Mikc5CcSDvNl0T2rLSjn1RWEgAQ-O8PLCHT3M1UB5aeVgdQTQinTVSL74DnNUGaEMF3Y4bQNO_laHpY06SOEyLTh5pjAcdsULImw7988GT7YL5ougXLzjHZMoFlIYiLngKGGRjoriSW3ztxu0lJQ==&uniplatform=NZKPT&language=CHS,中国的能源配额交易政策是一项旨在减少碳排放、促进清洁能源利用和实现可持续发展的创新政策。文章将2016年开始实施的能源配额交易政策视为准自然实验，基于2008—2020年的中国省际面板数据，通过双重差分法实证检验了该项试点政策对减污降碳的影响。研究发现，试点政策具有显著的减污降碳效应，这一结论在经过一系列稳健性检验后仍然成立。机制分析发现，能源结构是试点政策发挥减污降碳效应的传导途径，环境规制强化了试点政策的减污降碳效应。异质性分析显示，相对而言，北方省份和能源相对富集省份的试点政策的减污降碳效应更显著。基于合成双重差分法的进一步分析发现，试点政策在河南省的实施具有显著的静态与动态效应。文章为政府利用能源配额交易政策推动减污降碳，进而如期实现“双碳”目标提供更多经验证据与政策启示。,2025-11-03 14:30:56
